name,reputation_risk_score,rep_risk_reason
JP Morgan,0.0,"['[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]']"
WireCard,0.8,"['[]', ""['wirecard - Wirecard fugitive Jan Marsalek : from financial fraudster to Russian spymaster ? ', 'wirecard - 5 of the biggest and most notorious fraud cases in history']"", '[]', '[]', '[]', '[]']"
Microsoft,0.0,"['[]', '[]', '[]', '[]', '[]', '[]', '[]']"
Wells Fargo,0.2,"['[]', '[]', ""['henry wells - Caddo Sheriff open house for students exploring criminal justice']"", '[]', '[]', '[]', '[]', '[]']"
